Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_LightGBM,W_DT-Simple,W_Ridge,W_entropy,RMSE_LightGBM,RMSE_DT-Simple,RMSE_Ridge
Abalone,0,2.1566197383148817,2.169444034714339,2.1963673768976113,2.0,15.0,63.39717149734497,0.3434221672095903,0.31602429974816804,0.3405535330422417,0.6931383854703936,2.1963673768976113,2.386782425169294,2.2148683580661834
Abalone,1,2.216361238583859,2.011636011304965,2.22344915890612,2.0,17.0,47.85224223136902,0.3439020883543299,0.32252774309007903,0.3335701685555911,0.6930308842692947,2.22344915890612,2.3708001109413743,2.292317722563652
Abalone,2,2.0740156795510787,2.0919038529289455,1.9968437003823982,2.0,14.0,45.821903228759766,0.3461829126385929,0.3323553528783063,0.3214617344831009,0.6924615078383077,1.9968437003823982,2.0799218736726663,2.1504057688123264
Abalone,3,2.1392450331131228,2.099469461530247,2.1116443050988916,2.0,14.0,55.42128229141235,0.3434477052535181,0.3197096109158265,0.3368426838306554,0.6931000463080932,2.1116443050988916,2.2684316208785784,2.1530507436021447
Abalone,4,2.3248971065478283,2.0338474150115173,2.3289902564782263,2.0,16.0,49.82074165344238,0.34348473229261256,0.3273093777528986,0.3292058899544888,0.6929218822822976,2.3289902564782263,2.4440869988273954,2.43000693235029
Abalone,5,2.1237348269820675,2.017764932102182,2.120538377585028,2.0,13.0,107.87195253372192,0.34994780816044485,0.32351506535486363,0.3265371264846915,0.6923767407683674,2.120538377585028,2.293796601232912,2.2725677945019735
Abalone,6,2.449621680783898,2.1091705061806088,2.3476754122438797,2.0,11.0,50.123039960861206,0.35325966231846717,0.32878548244626143,0.3179548552352714,0.6917632463796647,2.3476754122438797,2.5224320039758457,2.6083546444117056
Abalone,7,2.1232719572041665,2.0798503392721197,2.154040950056987,3.0,17.0,66.34061408042908,0.33083943193816623,0.33119932675411845,0.33796124130771527,1.0985641117533658,2.2004098757057515,2.198018819796811,2.154040950056987
Abalone,8,1.8474429075575085,2.0770435938859175,1.8861017378390328,2.0,13.0,54.29331088066101,0.3454888687292056,0.31633910709331325,0.33817202417748105,0.6930899082794286,1.8861017378390328,2.059900723956001,1.9269102975027221
Abalone,9,2.0540439055365605,2.115440698971401,2.0604697251237076,2.0,11.0,54.754979372024536,0.3451726705595155,0.3219475023967199,0.3328798270437645,0.6929828297441674,2.0604697251237076,2.209111213274471,2.1365603435491596
MEDIA,-,2.150925407417497,2.0805570845902244,2.1472489926260647,2.1,14.1,59.56972377300262,0.34451480474544427,0.32397128684305554,0.33151390841150014,0.733342954309338,2.1472489926260647,2.2833282391725347,2.2339083555417143
