Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_LightGBM,W_DT-Simple,W_Ridge,W_entropy,RMSE_LightGBM,RMSE_DT-Simple,RMSE_Ridge
Abalone,0,2.1547821405488445,2.1673559160441935,2.1963673768976113,2.0,18.0,124.24446749687195,0.5869042206801955,0.0,0.38251632363388804,0.6707537961812176,2.1963673768976113,2.386782425169294,2.2148683580661834
Abalone,1,2.2223851258455984,2.007889141365013,2.22344915890612,2.0,14.0,117.43375253677368,0.5464364927034718,0.0,0.2896271062484682,0.645200712770992,2.22344915890612,2.3708001109413743,2.292317722563652
Abalone,2,2.0482256867431547,2.0842042911013796,1.9968437003823982,3.0,13.0,219.66540694236755,0.32183256185934034,0.09554646374930717,0.2894871183078293,0.9943401013532653,1.9968437003823982,2.0799218736726663,2.1504057688123264
Abalone,3,2.141381846050021,2.0973129628303444,2.1116443050988916,2.0,13.0,103.63155794143677,0.4541998045031444,0.0,0.292964379101732,0.6696789443993372,2.1116443050988916,2.2684316208785784,2.1530507436021447
Abalone,4,2.3185530708253954,2.02302038236652,2.3289902564782263,2.0,17.0,75.08690524101257,0.6133912146157056,0.0,0.24676123520675666,0.599335136678011,2.3289902564782263,2.4440869988273954,2.43000693235029
Abalone,5,2.1397367336619904,2.017596226341543,2.120538377585028,3.0,15.0,153.50920796394348,0.44798838532854934,0.13425690801523746,0.11893353309994001,0.9036727749975956,2.120538377585028,2.293796601232912,2.2725677945019735
Abalone,6,2.3567977253471795,2.094944204367073,2.3476754122438797,3.0,11.0,179.71438431739807,0.48147233522331023,0.06176906065105676,0.29184937283846546,0.8775332861559721,2.3476754122438797,2.5224320039758457,2.6083546444117056
Abalone,7,2.14797871715443,2.069895417977577,2.154040950056987,3.0,17.0,200.90481734275818,0.5974933384342734,0.11965584484471284,0.17435829892398025,0.8568874651625771,2.2004098757057515,2.198018819796811,2.154040950056987
Abalone,8,1.853118203479094,2.0635882053611097,1.8861017378390328,2.0,13.0,100.12387871742249,0.7754568922453388,0.0,0.24773099159757928,0.5535076787810026,1.8861017378390328,2.059900723956001,1.9269102975027221
Abalone,9,2.0449751678997465,2.1133984196331648,2.0604697251237076,3.0,13.0,76.36847019195557,0.592039088525385,0.0,0.4128410225884315,0.6771614124126739,2.0604697251237076,2.209111213274471,2.1365603435491596
MEDIA,-,2.1427934417555456,2.073920516738792,2.1472489926260647,2.5,14.4,135.06828486919403,0.5417214334118714,0.041122827726031416,0.2747069381547071,0.7448071308892644,2.1472489926260647,2.2833282391725347,2.2339083555417143
