Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_XGBoost,W_KNN,W_ElasticNet,W_entropy,RMSE_XGBoost,RMSE_KNN,RMSE_ElasticNet
Boston,0,2.768599900727608,2.3376903476491404,2.546641159560094,2.0,21.0,107.14168214797974,0.08626662528062003,0.7845382731727717,0.0,0.32302455502122435,3.46083360487529,2.546641159560094,3.848550276816389
Boston,1,4.819900476569732,2.3351082814107054,4.87899700683675,2.0,20.0,75.63578796386719,0.0,0.6274421930878806,0.34379674838575613,0.6498741672726551,4.87899700683675,5.16864797766126,5.759656623356779
Boston,2,3.5580149981711626,2.264219237601166,3.3404323887789347,3.0,22.0,63.714874505996704,0.0,0.2894159862973417,0.014908314988450825,0.19552536289265787,4.065124705525237,3.3404323887789347,4.231672552969438
Boston,3,2.6904698721365676,1.9791895111327067,3.5929263553279505,2.0,23.0,40.04978680610657,0.0,0.7121792213475359,0.0,2.8631110016457123e-11,4.579242084156143,3.5929263553279505,4.808250926446637
Boston,4,3.952939754892034,2.369474415187596,4.759804034742871,2.0,27.0,46.09041380882263,0.0,0.7811933084317085,0.10360781891287119,0.3611013792450831,4.759804034742871,5.282287733378845,5.956915208596315
Boston,5,3.5001739636944524,2.042009312818639,3.060776094323897,3.0,25.0,140.01536870002747,0.07835772759418877,0.3649791014478574,0.05028032560602666,0.7480648632333466,4.352167954189612,3.060776094323897,4.381135683686301
Boston,6,2.5344743157882594,2.3904348952371417,3.3580839316178355,2.0,19.0,41.08423662185669,0.0,0.7122417102117302,0.0,2.8631110016457123e-11,3.8795733458328594,3.3580839316178355,4.938066634493301
Boston,7,2.8876601434331803,2.046365305647666,2.7528807066318612,3.0,26.0,129.28743648529053,0.0882587417665893,0.6612801125275262,0.12009090258359809,0.7138602583777198,4.177843252186238,2.7528807066318612,4.380583695711848
Boston,8,3.407598543190606,2.288561654473189,3.4868015804436463,3.0,19.0,191.07012033462524,0.17353067493951502,0.7444544255609311,0.09278065972067541,0.7469822671061546,3.4868015804436463,5.163509860624184,4.459767991411324
Boston,9,3.8534515187974434,2.4785164864820866,3.7694879974920057,2.0,22.0,73.05021238327026,0.3530906139870301,0.9372746408239809,0.0,0.5868420162046105,5.322746029825286,3.7694879974920057,5.13653226889117
MEDIA,-,3.3973283487401047,2.2531569447640036,3.8035674205396868,2.4,22.4,90.7139919757843,0.07795043835679431,0.6614998972909264,0.07254647701973783,0.43252748694107146,4.296313359861394,3.8035674205396868,4.79011318623795
