Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,RMSE_XGBoost,RMSE_DT-Simple,RMSE_KNN
Concrete,0,5.865892329576663,5.518299164302677,5.313652522835277,2.0,14.0,79.46577763557434,5.313652522835277,9.451802073196385,7.465382233787806
Concrete,1,5.459986559168838,6.305556974321753,4.983596996431845,2.0,14.0,86.48611640930176,4.983596996431845,9.496903825274453,7.265423506993516
Concrete,2,6.899456353733319,5.603977651086554,5.696817169398871,2.0,14.0,82.2277204990387,5.696817169398871,9.746197439641655,9.300600155206542
Concrete,3,6.423007700341717,5.774691311779948,5.746994490484524,2.0,14.0,79.62040781974792,5.746994490484524,9.429498782831976,8.968178378106233
Concrete,4,6.562816384385372,6.13137564683535,5.603279610929199,2.0,15.0,108.83156323432922,5.603279610929199,8.656709252415167,8.85536992729481
Concrete,5,5.285436490339567,5.534035528723999,4.418289494832389,2.0,12.0,94.33600091934204,4.418289494832389,8.118029156788616,7.184547717001003
Concrete,6,4.451731440542662,6.443877873294868,4.47283409616895,2.0,14.0,73.79586219787598,4.47283409616895,10.025049185163011,6.030999838156502
Concrete,7,5.546057979511138,4.914789929060888,5.556793859372295,2.0,14.0,79.14996385574341,5.556793859372295,9.522592531589506,7.578858897830653
Concrete,8,4.925307912742923,5.5311183259529795,4.356218737058817,2.0,14.0,92.04340434074402,4.356218737058817,7.84940312977852,7.459625849066061
Concrete,9,4.941888709749265,5.784336432757666,4.649949953027122,2.0,16.0,109.8318419456482,4.649949953027122,8.6765649328182,7.231814095663674
MEDIA,-,5.636158186009146,5.754205883811669,5.079842693053929,2.0,14.1,88.57886588573456,5.079842693053929,9.09727503094975,7.73408005991068
